OBJECTID,pointid,Elevation,FlowDirect,POINT_X,POINT_Y
1,1,150.1582489,1,287640.44,4783278.029
2,2,150.1310577,1,287641.44,4783278.029
3,3,150.1268005,1,287642.44,4783278.029
4,4,149.9535522,64,287643.44,4783278.029
5,5,151.7507782,16,287644.44,4783278.029
6,6,149.9736176,64,287645.44,4783278.029
7,7,150.0057983,16,287646.44,4783278.029
8,8,150.2833099,4,287635.44,4783277.029
9,9,150.2826996,8,287636.44,4783277.029
10,10,150.2775421,1,287637.44,4783277.029
11,11,150.23172,1,287638.44,4783277.029
12,12,150.195343,1,287639.44,4783277.029
13,13,150.1616058,128,287640.44,4783277.029
14,14,151.157547,64,287641.44,4783277.029
15,15,151.1878662,64,287642.44,4783277.029
16,16,150.787796,64,287643.44,4783277.029
17,17,152.2598724,32,287644.44,4783277.029
18,18,150.8973389,64,287645.44,4783277.029
19,19,150.0032043,32,287646.44,4783277.029
20,20,150.0162811,16,287647.44,4783277.029
21,21,150.055603,16,287648.44,4783277.029
22,22,150.080368,16,287649.44,4783277.029
23,23,150.066452,1,287650.44,4783277.029
24,24,150.0501099,1,287651.44,4783277.029
25,25,150.0327911,1,287652.44,4783277.029
26,26,150.024826,2,287653.44,4783277.029
27,27,150.2030334,4,287630.44,4783276.029
28,28,150.2048798,8,287631.44,4783276.029
29,29,150.2281647,4,287632.44,4783276.029
30,30,150.2500916,8,287633.44,4783276.029
31,31,150.2577362,8,287634.44,4783276.029
32,32,150.2536774,4,287635.44,4783276.029
33,33,150.2679138,2,287636.44,4783276.029
34,34,150.2603912,2,287637.44,4783276.029
35,35,150.2413483,2,287638.44,4783276.029
36,36,150.1973877,4,287639.44,4783276.029
37,37,150.1622772,4,287640.44,4783276.029
38,38,150.1389923,1,287641.44,4783276.029
39,39,150.1303253,1,287642.44,4783276.029
40,40,150.0306396,4,287643.44,4783276.029
41,41,151.5419922,16,287644.44,4783276.029
42,42,151.306839,1,287645.44,4783276.029
43,43,149.9967804,64,287646.44,4783276.029
44,44,150.0093842,16,287647.44,4783276.029
45,45,150.0513153,16,287648.44,4783276.029
46,46,150.070282,8,287649.44,4783276.029
47,47,150.0769043,1,287650.44,4783276.029
48,48,150.0569916,1,287651.44,4783276.029
49,49,150.0257874,128,287652.44,4783276.029
50,50,150.0267487,1,287653.44,4783276.029
51,51,150.006958,1,287654.44,4783276.029
52,52,149.9846039,1,287655.44,4783276.029
53,53,149.9643402,1,287656.44,4783276.029
54,54,149.9529419,1,287657.44,4783276.029
55,55,149.9484406,1,287658.44,4783276.029
56,56,149.9404449,64,287659.44,4783276.029
57,57,149.9558105,16,287660.44,4783276.029
58,58,150.1306305,4,287624.44,4783275.029
59,59,150.1403351,4,287625.44,4783275.029
60,60,150.1338654,4,287626.44,4783275.029
61,61,150.1439972,4,287627.44,4783275.029
62,62,150.140213,4,287628.44,4783275.029
63,63,150.1422272,4,287629.44,4783275.029
64,64,150.1424561,4,287630.44,4783275.029
65,65,150.1688538,8,287631.44,4783275.029
66,66,150.1787262,4,287632.44,4783275.029
67,67,150.2033844,8,287633.44,4783275.029
